Titre,Note,URL,Tags,Commentaire
Hanoï Cà Phê Opéra,Cafe/ Resto sympa,https://www.google.com/maps/place/Hano%C3%AF+C%C3%A0+Ph%C3%AA+Op%C3%A9ra/data=!4m2!3m1!1s0x47e66e3a1e2e613f:0xa760494688557ca3,,
Restaurant Godjo,,https://www.google.com/maps/place/Restaurant+Godjo/data=!4m2!3m1!1s0x47e671e66a3afeed:0xea1b968a9c06ae6c,,
La Plume Rive Droite,A tester !! Vue imprenable,https://www.google.com/maps/place/La+Plume+Rive+Droite/data=!4m2!3m1!1s0x47e66f885e9f5e57:0xc386dabd4f893a00,,
Les Antiquaires,,https://www.google.com/maps/place/Les+Antiquaires/data=!4m2!3m1!1s0x47e66e299bad93e9:0xb26059bd683890cc,,
Restaurant Akrame,restaurant avec cheval dans l entree (Juliette),https://www.google.com/maps/place/Restaurant+Akrame/data=!4m2!3m1!1s0x47e66fee62109c6d:0x6adcee5ab61ee0de,,
Meïda,"Cuisine méditerranéenne, bonne, classe a St Ouen",https://www.google.com/maps/place/Me%C3%AFda/data=!4m2!3m1!1s0x47e66f2faff41673:0xe14f00f25e26b60c,,
MÛRE,Travail sur Paris ,https://www.google.com/maps/place/M%C3%9BRE/data=!4m2!3m1!1s0x47e66f3af255f67d:0x1bd2f9225e5bf486,,
Kino Meeting Point,,https://www.google.com/maps/place/Kino+Meeting+Point/data=!4m2!3m1!1s0x4758c8c4cbef8c05:0x8baff86969adef70,,
El Guacamole République,Guzcolmoleee,https://www.google.com/maps/place/El+Guacamole+R%C3%A9publique/data=!4m2!3m1!1s0x47e66e0c041f34dd:0xc3d081b374186616,,
Navigli - Restaurant Italien,,https://www.google.com/maps/place/Navigli+-+Restaurant+Italien/data=!4m2!3m1!1s0x47e66f1817b91c0d:0x9377c6a55f339aa2,,
Le Petit Cambodge,,https://www.google.com/maps/place/Le+Petit+Cambodge/data=!4m2!3m1!1s0x47e66de04fe01397:0x257dd3845f24331b,,
Deegha Cuisine Indienne,,https://www.google.com/maps/place/Deegha+Cuisine+Indienne/data=!4m2!3m1!1s0x47e66d6b07bc08e5:0xc9b8f1ad262adf52,,
Bar Lumen,,https://www.google.com/maps/place/Bar+Lumen/data=!4m2!3m1!1s0x47e66fc0a2541c71:0x4c7dc2cb4c21507,,
Ten Ten Ten,,https://www.google.com/maps/place/Ten+Ten+Ten/data=!4m2!3m1!1s0x47e6730022a8c339:0x7aa8cb922c07fb3d,,
Tarántula Paris,A tester absolutely,https://www.google.com/maps/place/Tar%C3%A1ntula+Paris/data=!4m2!3m1!1s0x47e6730075eaab4b:0xb6bcddf19fa0c46f,,
Yo,Resto petit gastro fr/thai,https://www.google.com/maps/place/Yo/data=!4m2!3m1!1s0x47e66e309ccc2657:0x15516f59555a9748,,
No Scrum No Win - Bar Rugby,,https://www.google.com/maps/place/No+Scrum+No+Win+-+Bar+Rugby/data=!4m2!3m1!1s0x47e66f10804808a1:0x1c9575c54f2e2c9,,
La Renommée,"A tester, paris 1900",https://www.google.com/maps/place/La+Renomm%C3%A9e/data=!4m2!3m1!1s0x47e66f09b0e193ad:0xec5e9b6064cbfb4a,,
The Hood Paris,Singaporean restaurant,https://www.google.com/maps/place/The+Hood+Paris/data=!4m2!3m1!1s0x47e66de51d7ee2eb:0x51ce996727a37196,,
SOKCHO 牛者,A tester,https://www.google.com/maps/place/SOKCHO+%E7%89%9B%E8%80%85/data=!4m2!3m1!1s0x47e66fcb60b0d411:0x7cae0cf8ba0ea152,,
Partisan Café Artisanal,,https://www.google.com/maps/place/Partisan+Caf%C3%A9+Artisanal/data=!4m2!3m1!1s0x47e66e1a5cf378a1:0x2f3bfb470132c0c5,,
Express de Lyon,,https://www.google.com/maps/place/Express+de+Lyon/data=!4m2!3m1!1s0x47e67204ae7ea483:0xf4b2f17966bb0230,,
DAROCO 16,,https://www.google.com/maps/place/DAROCO+16/data=!4m2!3m1!1s0x47e664a082da6935:0xbd29c2eec6c68,,
Les Amis Des Messina,Resto à tester ,https://www.google.com/maps/place/Les+Amis+Des+Messina/data=!4m2!3m1!1s0x47e66e1779c7d021:0x9d6a187957661c2d,,
Yoru Paris 夜,,https://www.google.com/maps/place/Yoru+Paris+%E5%A4%9C/data=!4m2!3m1!1s0x47e6737212465233:0x5803d58c667c7ff8,,
Eunoé,Petit gastro proche du travail à tester,https://www.google.com/maps/place/Euno%C3%A9/data=!4m2!3m1!1s0x47e66d2ac2344239:0x889be4fb509ff1f0,,
Stellar Restaurant - Ephemera,Astro bar,https://www.google.com/maps/place/Stellar+Restaurant+-+Ephemera/data=!4m2!3m1!1s0x47e66d6c8a63bcad:0x8e6ad1d2d95f04f3,,
Le Bistrot du Peintre,A tester ,https://www.google.com/maps/place/Le+Bistrot+du+Peintre/data=!4m2!3m1!1s0x47e6720b640e96d9:0x62adf1f1bf0aa555,,
Le Bar Chaumont,A tester,https://www.google.com/maps/place/Le+Bar+Chaumont/data=!4m2!3m1!1s0x47e66f5761581faf:0x13217b51b33483bc,,
"Qasti, Pâtisserie libanaise","Pâtisseries libanaises Haïfa 
","https://www.google.com/maps/place/Qasti,+P%C3%A2tisserie+libanaise/data=!4m2!3m1!1s0x47e66f47d569cc6d:0x212797c8fa8c66e0",,
Le Square - Restaurant Paparazzi,Bar avec Alexandre ,https://www.google.com/maps/place/Le+Square+-+Restaurant+Paparazzi/data=!4m2!3m1!1s0x47e66e36aad6e2a7:0x326b050b09c8eca9,,
To Restaurant Paris,Bistro chic en 5 étapes !! Ideas à tester ,https://www.google.com/maps/place/To+Restaurant+Paris/data=!4m2!3m1!1s0x47e66fbf77bf3879:0x5c98bdcea603dee7,,
Maison Revka,Maison russe -coktails hôtel ,https://www.google.com/maps/place/Maison+Revka/data=!4m2!3m1!1s0x47e66f35cff6988f:0x29fdf8f616fc1fec,,
